id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
1331375,en,Dominique,"Une tueuse aguerrie fuit son passé troublé pour commencer une nouvelle vie, mais se retrouve dans une ville violente. Elle doit décider si elle doit se protéger elle-même ou la famille qui l'a accueillie.",352.277,/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg,2024-10-11,Dominique,7.563,72,"['Action', 'Thriller']"
482600,ko,일본 엄마,,344.802,/hq1EaYIqUNrPM3QFYAbnH2UHoX8.jpg,2017-02-09,일본 엄마,6.2,28,"['Romance', 'Drame']"
1014505,ja,劇場版「オーバーロード」聖王国編,"Jaldabaoth décide d'envahir le Saint Royaume de Roble avec les demi-humains. Conscient de la menace, le Saint Royaume prévoit de faire appel à Momon pour l'aider dans cette guerre.  (Pour rappel, ce film fera suite à la quatrième saison)",337.039,/fggkIB6oeVi5Mpwl0fALLVevAFN.jpg,2024-09-20,Overlord : The Sacred Kingdom,7.9,22,"['Action', 'Aventure', 'Animation', 'Fantastique']"
573435,en,Bad Boys: Ride or Die,"Le détective de Miami Mike Lowrey apprend que son ex-supérieur à l'escouade anti-drogue, le défunt capitaine Howard, aurait reçu des centaines de millions de dollars de la part des cartels mexicains. Avec son coéquipier et ami Marcus Burnett, Mike entreprend de blanchir la réputation de Howard. Or, le meurtrier du capitaine, le trafiquant Armando Aretas, est le seul à pouvoir identifier le véritable traître au sein des forces de police de Miami. Et puisque le repenti Armando est également le fils de Mike, ce dernier obtient qu'il soit temporairement libéré de prison pour participer à l'enquête. Mais ce faisant, Marcus, Mike et son fils se retrouvent à leur tour compromis par le chef des conspirateurs, qui lance des chasseurs de primes à leurs trousses.",336.901,/rHRErXpF2AIhw6i4GD1ikqy8uak.jpg,2024-06-05,Bad Boys: Ride or Die,7.485,2421,"['Action', 'Comédie']"
8871,en,How the Grinch Stole Christmas,"Le Grinch est un croque-mitaine de poils verts qui arbore un sourire élastique jusqu'aux oreilles. Misanthrope exilé, il vit depuis 53 ans dans une grotte sur le mont Crumpit avec son chien Max. Il se nourrit de jus de laitue, d'huile de castor et de lait tourné, et a un cœur trois fois trop petit pour aimer qui que ce soit. Recueilli par deux charmantes vieilles dames, le Grinch aurait aimé avoir une enfance et une scolarité normales, avoir des copains et flirter avec la gentille Martha qui le couvait d'un œil tendre. Mais les petits Whos se comportèrent si cruellement avec lui qu'ils le contraignirent à l'exil.",321.348,/cmbQRAux3YdOIIk9RIj1Hq3C05f.jpg,2000-11-17,Le Grinch,6.765,7424,"['Familial', 'Comédie', 'Fantastique']"
957452,en,The Crow,"La veille de leur mariage, Eric Draven et Shelly Webster sont sauvagement assassinés. Un an plus tard, un corbeau ramène Eric à la vie au coeur d'une ville plongée dans les ténèbres. Eric va se laisser conduire là où sa vengeance l'appelle. Pour que justice soit faite. Pour l'amour de Shelly.",318.005,/gEeLJ1F8SnLZk6q8PEAZ3qjWVdP.jpg,2024-08-21,The Crow,5.9,794,"['Action', 'Fantastique', 'Horreur']"
1116490,en,Cash Out,"Mason est un génie du crime qui monte des braquages complexes qui rapportent gros. Quand son petit frère décide de monter seul un braquage pour récupérer un mystérieux coffre, la situation dérape et Mason est obligé d'intervenir. La situation prend une dimension inattendue quand plusieurs pays se font concurrence pour mettre la main sur le coffre et qu'Interpol se jette à leur trousse.",317.236,/xBJnIvRdL0nDHgvivr6EgBQizes.jpg,2024-04-26,Cash Out,6.3,137,"['Action', 'Thriller']"
823219,lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",312.637,/enRimDhtFfb7hNTQlOjrgK8O8UO.jpg,2024-08-29,Flow,8.5,365,"['Animation', 'Fantastique', 'Aventure']"
360920,en,The Grinch,"Terré dans sa cave remplie d’inventions et d’engins pour ses besoins de tous les jours, Le Grinch ne voit ses voisins de Chouville que lorsqu’il manque de nourriture. Chaque année à Noël, ils viennent perturber sa tranquillité solitaire avec des célébrations toujours plus grandioses, brillantes et bruyantes. Quand les Chous déclarent qu’ils vont célébrer Noël trois fois plus fort cette année, le Grinch réalise qu’il n’a plus qu’une solution pour retrouver la paix et la tranquillité : il doit voler Noël.",308.877,/36a2GG5L0QW7iP2g8OCYoAW9PJ.jpg,2018-11-08,Le Grinch,6.865,3947,"['Animation', 'Familial', 'Comédie', 'Fantastique']"
1084863,fr,Le Mangeur d'âmes,"La commandante Élisabeth Guardiano est chargée d'aller enquêter sur un double meurtre d'une rare brutalité dans une petite commune des Vosges. Sur place, elle rencontre le capitaine de gendarmerie Franck de Rolan qui fait face à une série de disparitions d’enfants. Impuissants face à un village hostile, ils vont être contraints d’unir leurs forces pour découvrir la vérité, une vérité terrifiante empreinte de légendes occultes...",307.261,/m0HSecww9Tm79pbiXAE9zqLqq9T.jpg,2024-04-24,Le Mangeur d'âmes,6.2,85,"['Thriller', 'Horreur', 'Crime', 'Mystère']"
